hillnumber, hillname, region, parent, classification, metres, feet, gridref, gridref10, colgridref, colheight, drop, feature, observations, survey, revision, comments, map50, map25, xcoord, ycoord, latitude, longitude, country, climbed, tumponly,Ma,Ma=,Hu,Hu=,Tu,Sim,5,M,MT,F,C,G,D,DT,Hew,N,Dew,DDew,HF,4,3,2,1,0,W,WO,B,E,HHB,Sy,Fel,CoH,CoU,CoA,CoL,SIB,sMa,sHu,sSim,s5,s4,Mur,CT,GT,DN,BL,Bg,Y,Cm,T100,xMT,xC,xG,xN,xDT,O,Un,P600,P500
1954,"Carn Fadryn","30A",,"Ma,3","371","1217","SH278351","SH 27869 35186","SH308384","28","343","rock 2m SE of trig point","top of rock is 10cm above flush bracket","Abney level","2020-12-06","","123","253","227865","335182","52.88649","-4.559852","W","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1955,"Mynydd Rhiw","30A",,"Ma,3","304","997","SH228293","SH 22850 29392","SH236347","64","240","rocks 2m S of trig point","top of rock is 5cm above flush bracket","Abney level","2012-12-10","","123","253","222846","329388","52.832829","-4.631214","W","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1956,"Garn Boduan","30A",,"Ma,2","279","915","SH312393","SH 31211 39351","SH 3364 4187","103.5","176","rock 2m from plinth with brass spot height marker","marginally higher than nearby wind shelter","simple level (summit), Trimble GeoXH 6000 (col)","2015-04-11","","123","253","231207","339347","52.924954","-4.512396","W","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1957,"Moel-y-gest","30A",,"Ma,2","263","863","SH549388","SH 54927 38894","SH539397","27","236","boulder 18m South of trig point","boulder is c1.5m higher than trig point (SH 54927 38910); outcrop 35m E of summit is c30cm lower","Abney level","2007-06-30","","124","OL18W 254","254924","338891","52.927783","-4.159684","W","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1958,"Carneddol","30A",,"Ma,2","235.9","774","SH301330","SH 30119 33100","SH 3008 3501","80","155.9","base of W side of wall on grassy knoll","","obvious summit","2021-03-21","","123","253","230115","333096","52.868471","-4.525357","W","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1959,"Holyhead Mountain","30A",,"Ma,2,CoH,CoU, SIB","220","722","SH218829","SH 21859 82948","Sea","","220","trig point on circular plinth","rock by plinth is highest visible point but higher ground may be hidden under plinth","obvious summit","2001-10-28","","114","262","221855","382945","53.31341","-4.675573","W","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1960,"Mynydd Anelog","30A",,"Ma,1","191.4","628","SH151272","SH 15198 27222","SH 1733 2893","40.4","151","rock 5m E of small cairn","this rock is 2cm higher than base of cairn","Leica NA730/Leica GS15","2013-07-17","Promoted to Marilyn status July 2013","123","253","215194","327218","52.810771","-4.743439","W","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1961,"Mynydd Bodafon [Yr Arwydd]","30A",,"Ma,1,SIB","177.6","583","SH472854","SH 47247 85421","Sea","","177.6","trig point","","obvious summit","2020-02-14","","114","263N","247244","385418","53.343558","-4.296025","W","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1962,"Mynydd Enlli","30A",,"Ma,1,SIB","167.9","551","SH123219","SH 12316 21936","Sea","","167.9","rock outcrop","mound 70m SSW at SH 12280 21872 is 0.8m lower","Abney level/Trimble GeoXH 6000","2015-09-03","","123","253","212312","321932","52.762314","-4.783114","W","",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1963,"Snowdon - Yr Wyddfa","30B",,"Ma,F,Sim,Hew, N,HHB,CoH,CoU","1085","3560","SH609543","SH 60989 54379","NS758782","46","1039","trig point/view indicator","","","2017-03-07","","115","OL17W","260986","354376","53.068496","-4.076231","W","",0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1
1964,"Crib y Ddysgl","30B",1963,"F,Sim,Hew,N, HHB","1065.3","3495","SH610551","SH 61082 55158","SH607549","993","72","rock 6m SW of trig point","","Leica NA730/Leica GS15","2017-12-20","","115","OL17W","261079","355155","53.075519","-4.07518","W","",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1965,"Carnedd Llewelyn","30B",,"Ma,F,Sim,Hew, N,HHB,CoU","1064","3491","SH683643","SH 68364 64375","SH675604","314","750","cairn","shelter 25m SW of cairn (SH 68376 64350) is 0.5m lower; ground at SH 68293 64476 and tors at SH 68233 64495 and SH 68194 64466 are all several metres lower","Abney level","2008-06-30","","115","OL17E OL17W","268361","364372","53.160168","-3.970333","W","",0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1
1966,"Carnedd Dafydd","30B",1965,"Hu,F,Sim,Hew, N,HHB","1044","3425","SH662630","SH 66286 63049","SH680636","933","111","cairn","rocks 30m SE at SH 66314 63034 are 30cm lower; cairn 65m ESE at SH 66352 63041 is 1m lower; note summit cairn may be on man-made structure","Abney level","2009-11-20","","115","OL17W","266283","363046","53.147738","-4.000839","W","",0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1967,"Glyder Fawr","30B",,"Ma,F,Sim,Hew, N,HHB","1000.9","3284","SH642579","SH 64246 57956","SH647556","359","642","rock tor","rock outcrop 40m SSW at SH 64230 57923 is 1.45m lower; all other rock features lower still","Abney level/Leica 530","2016-11-15","","115","OL17W","264243","357953","53.101470","-4.029164","W","",0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1
1968,"Glyder Fach","30B",1967,"F,Sim,Hew,N, HHB","994.3","3262","SH656582","SH 65646 58289","SH 6527 5815","919.8","74.5","large rock on huge pile of rocks","","obvious summit/Trimble GeoXH 6000","2014-10-19","","115","OL17W","265643","358286","53.104815","-4.008407","W","",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1969,"Pen yr Ole Wen","30B",1965,"F,Sim,Hew,N, HHB","978","3209","SH655619","SH 65599 61946","SH654622","933","45","ground 5m N of cairn","","Abney level","2020-01-05","Added to Trail 100 list Jan 2020","115","OL17W","265596","361943","53.137656","-4.010641","W","",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1970,"Foel Grach","30B",1965,"F,Sim,Hew,N, HHB","975.4","3200","SH688659","SH 68881 65909","SH 6889 6532","933.8","41.7","cairn","rock outcrop 25m SSE at SH 68891 65885 is about 50cm lower","Abney level/Leica RX1250","2017-12-13","","115","OL17E OL17W","268878","365906","53.174077","-3.963234","W","",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1971,"Yr Elen","30B",1965,"F,Sim,Hew,N, HHB","962","3156","SH673651","SH 67389 65118","SH676647","905","57","rock outcrop","rock outcrop with cairn 50m SSW at SH 67371 65073 is about 50cm lower; cairn 75m WNW at SH 67318 65142 is about 3m lower","Abney level","2008-06-30","","115","OL17W","267386","365115","53.166601","-3.985215","W","",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1972,"Y Garn","30B",,"Ma,F,Sim,Hew, N,HHB","947","3107","SH630595","SH 63092 59572","SH635584","711","236","cairn/shelter","","Abney level","2020-01-05","Added to Trail 100 list Jan 2020","115","OL17W","263089","359569","53.115691","-4.047079","W","",0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1973,"Foel-fras","30B",1965,"F,Sim,Hew,N, HHB","944.1","3097","SH696681","SH 69616 68124","SH 6880 6651","881.3","62.8","2m high rock spike 70m SW of trig point","rock spike is higher than top of trig point and about 50cm higher than block of rock 30m SW of trig point","Abney level/Leica RX1250","2017-12-13","","115","OL17E","269613","368121","53.194157","-3.953149","W","",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1974,"Garnedd Uchaf [Carnedd Gwenllian]","30B",1965,"F,Sim,Hew,N, HHB","925","3035","SH686669","SH 68701 66905","SH 6916 6734","892","33","rock outcrop","","Abney level/Leica RX1250","2017-12-13","summit and col measured as 925.0 and 892.0m respectively","115","OL17E OL17W","268698","366902","53.18298","-3.966335","W","",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1975,"Elidir Fawr","30B",,"Ma,F,Sim,Hew, N,HHB","924","3031","SH611612","SH 61176 61292","SH626614","712","212","rock c 25m SSW of windshelter","windshelter is at SH 61197 61304","Abney level","2016-10-18","","115","OL17W","261173","361289","53.130647","-4.076431","W","",0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1976,"Crib Goch","30B",1963,"F,Sim,Hew,N, HHB","923","3028","SH624551","SH 62424 55189","SH621551","858","65","rock","","","2020-01-05","Added to Trail 100 list Jan 2020","115","OL17W","262421","355186","53.076145","-4.055175","W","",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1977,"Tryfan","30B",,"Ma,F,Sim,Hew, N,HHB","917.5","3010","SH664593","SH 66408 59390","SH661588","727","191","Adam","","Leica 530","2010-06-28","","115","OL17W","266405","359387","53.114898","-3.997491","W","",0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1978,"Y Lliwedd","30B",,"Ma,Sim,Hew,N, HHB","897.9","2946","SH622533","SH 62245 53339","SH 6195 5371","744.1","153.8","rock","","","2023-07-11","","115","OL17W","262242","353336","53.059479","-4.057053","W","",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
1979,"Y Lliwedd East Top","30B",1978,"N,HHB,sSim","893.2","2930","SH624532","SH 62405 53253","SH 6229 5326","872.9","20.3","rock","","","2023-07-11","","115","OL17W","262402","353250","53.058748","-4.05463","W","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,"Moel Siabod","30B",,"Ma,Sim,Hew,N, HHB","872.2","2862","SH705546","SH 70527 54634","SH 6604 5560","272.3","599.9","rock 4m WSW of trig point","","obvious summit/Trimble GeoXH 6000","2018-05-15","LIDAR data indicates a col height of 272.5 with a consequent drop of 599.7m","115","OL18E","270524","354631","53.073185","-3.934069","W","",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1
1981,"Llwytmor","30B",1965,"Sim,Hew,N,HHB","849","2785","SH689692","SH 68950 69227","SH691690","776","73","small cairn","","","2014-10-19","","115","OL17E OL17W","268947","369224","53.203902","-3.963564","W","",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1982,"Pen yr Helgi Du","30B",1965,"Sim,Hew,N","832.6","2732","SH697630","SH 69782 63049","SH 6943 6334","747.8","84.7","scattered cairn on W edge of summit","ground 5m SE of cairn is as high; ground 25m SE at SH 69792 63025 is 0.3m lower","Abney level/Trimble GeoXH 6000","2015-09-12","","115","OL17E","269779","363046","53.148604","-3.948598","W","",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1983,"Foel-goch","30B",1972,"Sim,Hew,N","831","2726","SH628612","SH 62861 61214","SH627602","755","76","cairn","","","2012-12-10","","115","OL17W","262858","361211","53.130382","-4.051230","W","",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1984,"Carnedd y Filiast","30B",1975,"Sim,Hew,N","821","2694","SH620627","SH 62041 62739","SH620615","745","76","small cairn","cairn is probably higher than windshelter 35m N at SH 62045 62775","","2001-10-28","","115","OL17W","262038","362736","53.143870","-4.064135","W","",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1985,"Lliwedd Bach","30B",1978,"N,sSim","819","2687","SH627532","SH 62754 53232","SH 6269 5320","798.5","20.5","upright rock","","","2023-07-11","","115","OL17W","262751","353229","53.058649","-4.049417","W","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,"Mynydd Perfedd","30B",1975,"N,sSim","813","2667","SH623618","SH 62321 61883","SH 6226 6238","792.7","20","rock spike","10m SSE of shelter","","2023-07-11","","115","OL17W","262318","361880","53.136253","-4.059583","W","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1987,"Bera Bach","30B",1965,"N","806.5","2646","SH672677","SH 67209 67772","SH 6758 6760","788.7","17.8","rock","","Leica RX1250","2017-08-05","","115","OL17W","267206","367767","53.190381","-3.989008","W","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,"Y Foel Goch","30B",1967,"Sim,Hew,N","805","2641","SH677582","SH 67784 58219","SH672582","742","63","cairn","rocks 50m S at SH 67775 58170 and rock 120m SW at SH 67715 58120 are as high as cairn","Abney level","2012-12-10","","115","OL17W","267781","358216","53.104720","-3.976462","W","",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1989,"Pen Llithrig y Wrach","30B",,"Ma,Sim,Hew,N","798.6","2620","SH716622","SH 71625 62293","SH 7095 6263","618.3","180.3","cairn","","obvious summit/Trimble GeoXH 6000","2015-09-12","","115","OL17E","271622","362290","53.142260","-3.920754","W","",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1990,"Foel Meirch","30B",1965,"N","800","2625","SH658637","SH 65878 63744","SH658636","785","15","spike of rock","spike of rock 8m N at SH 65876 63753 is 5cm lower; pile of loose stones 10m NW at SH 65870 63754 is 20cm lower","Abney level","2009-11-20","","115","OL17W","265875","363741","53.153879","-4.007227","W","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,"Bera Mawr","30B",1965,"N,sSim","793.7","2604","SH674682","SH 67485 68274","SH 6751 6815","764","29.7","rock pinnacle","","Trimble GeoXH 6000/Leica RX1250","2017-08-05","Col height measured as 764.0m. Deleted from the Simms July 2017","115","OL17W","267482","368267","53.194941","-3.985087","W","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,"Moel Hebog","30B",,"Ma,Sim,Hew,N","783","2569","SH564469","SH 56485 46943","SH576513","198","585","trig point","cairn 40m ENE at SH 56519 46963 is probably lower","","2007-03-10","","115","OL17W 254","256482","346940","53.000507","-4.140093","W","",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1
1993,"Drum","30B",1965,"Sim,Hew,N","771","2530","SH708695","SH 70846 69588","SH 7068 6904","722.6","48.4","rock in shelter","","Leica RX1250","2017-12-13","summit measured as 771.0m","115","OL17E","270843","369585","53.20761","-3.935341","W","",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1994,"Moelwyn Mawr","30B",,"Ma,Sim,Hew,N","770","2526","SH658448","SH 65825 44864","SH699485","385","385","ground next to trig point","","","2003-02-10","","124","OL18W","265822","344861","52.984252","-4.000142","W","",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1995,"Gallt yr Ogof","30B",1967,"Sim,Hew,N","763","2503","SH685585","SH 68529 58569","SH681583","721","42","rock 4m from cairn","rocky ground 8m NW at SH 68525 58575 & large rock 14m N at SH 68525 58585 are of equal height","Abney level","2012-12-10","","115","OL17E OL17W","268526","358566","53.108049","-3.965484","W","",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
